  0:   52| [55] [√After Chapter4]
  1:   61| [45] [そしてそこから出るなり、プロキオンが警告音を鳴らした。]
  2:   75| [47] [渡瀬]
  3:   78| [45] [「……ッ！」]
  4:   90| [45] [プロキオンの表示を見ると、数値は『４０００ｍＳｖ』――]
  5:   95| [45] [このファクトリーも汚染が進み、とうとう第１危険基準値を超えてしまったらしい。]
  6:  100| [47] [渡瀬]
  7:  101| [45] [（この分だと、施設内の全域が４０００ｍＳｖ以上に達しているかもしれない……！）]
  8:  106| [45] [それはさきほどの死体の一件と同じくらい、重要な問題だった。]
  9:  111| [45] [もはやこの施設内は、ＡＤなしでは生き残れないどころか、ＡＤがあっても危険な環境になってしまったのだ。]
 10:  119| [47] [渡瀬]
 11:  122| [45] [「橘、守部、おっさんもＡＤを投与するんだ」]
 12:  130| [47] [渡瀬]
 13:  133| [45] [「色々気になる事があるとは思うが、頼む！」]
 14:  159| [47] [風見]
 15:  162| [45] [「……えぇ」]
 16:  189| [47] [洵]
 17:  192| [45] [「そうしよう……あたしたちだって死にたくないもん」]
 18:  217| [47] [宇喜多]
 19:  218| [45] [「……」]
 20:  268| [45] [これでまた全員、１時間は命がつなげたが――]
 21:  273| [47] [渡瀬]
 22:  274| [45] [（……脱出の道は絶たれていた）]
 23:  279| [47] [渡瀬]
 24:  280| [45] [（このままいくとあと５回、ＡＤ投与を行わなければならない……！）]
 25:  285| [45] [だが手持ちのＡＤは、使い切ってしまった。]
 26:  290| [45] [施設内はおおよそ探したつもりだが――見落としたＡＤでもなければ、あと１時間で全員被曝してしまう。]
 27:  295| [47] [渡瀬]
 28:  296| [45] [（でも、だとしたら……）]
 29:  301| [47] [渡瀬]
 30:  302| [45] [（また全エリアを捜索しなきゃならないのか？　今までよりさらに、重箱の隅をつつくように……！）]
 31:  327| [45] [そう考えた途端、頭がぐらりと揺れた。]
 32:  332| [45] [１度は見えた希望が潰えた事とも相まって、一気に疲労が湧いてくる。]
 33:  337| [45] [体ももう万全ではない。肋骨のヒビに、後頭部の裂傷――]
 34:  342| [45] [幾度となく煙が染みた眼も、ふと痛んでくる。]
 35:  347| [45] [皆の表情も一様に重く、戸惑いも滲んでいた。]
 36:  421| [47] [風見]
 37:  422| [45] [「……」]
 38:  427| [47] [ユウリ]
 39:  428| [45] [「……」]
 40:  486| [45] [誰も口を開かない。]
 41:  491| [45] [あまりに予想外の出来事が起き、混乱しているのだろう。]
 42:  496| [47] [渡瀬]
 43:  497| [45] [（それでも、まだ捜索を続けなきゃ……！）]
 44:  503| [45] [そう思った時、渡瀬のＰＤＡから声が流れ出した。]
 45:  508| [47] [司令長]
 46:  511| [45] [「…鷺…―るか？　―…笠鷺、感あるか！？」]
 47:  525| [47] [渡瀬]
 48:  528| [45] [「ッ！」]
 49:  533| [45] [久しぶりの通信だ！]
 50:  538| [45] [渡瀬ははっとして、ＰＤＡを取り出した。]
 51:  589| [47] [渡瀬]
 52:  592| [45] [「感あり！　こちら笠鷺、感あり！」]
